               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.028006,             0.02641,           0.0030421,             0.92205,             0.81634,              0.8958,             0.61986,            0.026169,            0.038374,           0.0027161,            0.002674,            0.002674,            0.002674
                  76,            0.027997,            0.025937,           0.0029443,             0.91969,             0.83198,             0.89863,             0.63268,            0.025986,            0.037942,           0.0027428,            0.002575,            0.002575,            0.002575
                  77,            0.027631,            0.025399,           0.0028805,             0.89591,             0.83952,             0.89483,             0.63093,            0.025959,            0.037969,           0.0026961,            0.002476,            0.002476,            0.002476
                  78,            0.027605,            0.025409,           0.0029283,             0.89794,             0.83674,             0.90131,             0.63185,            0.025972,            0.037849,           0.0026763,            0.002377,            0.002377,            0.002377
                  79,            0.027575,             0.02529,           0.0028186,             0.90757,             0.83708,              0.9005,             0.63109,            0.025803,            0.037709,           0.0027025,            0.002278,            0.002278,            0.002278
                  80,            0.027348,            0.025298,             0.00286,             0.89694,             0.84377,             0.90383,             0.63165,             0.02576,             0.03774,           0.0027091,            0.002179,            0.002179,            0.002179
                  81,            0.027358,            0.025355,           0.0028345,             0.92719,             0.83308,             0.90579,              0.6345,            0.025778,            0.037807,           0.0026826,             0.00208,             0.00208,             0.00208
                  82,            0.027159,            0.024962,            0.002722,             0.91321,             0.84333,              0.9041,             0.63537,            0.025665,            0.037663,           0.0026326,            0.001981,            0.001981,            0.001981
                  83,             0.02705,            0.025049,           0.0027684,             0.92387,             0.84159,              0.9068,              0.6359,            0.025592,            0.037527,           0.0026193,            0.001882,            0.001882,            0.001882
                  84,            0.027111,            0.025044,           0.0027675,             0.91084,             0.84115,             0.90325,              0.6394,             0.02552,            0.037579,           0.0025936,            0.001783,            0.001783,            0.001783
                  85,            0.026959,            0.024853,           0.0026696,             0.90923,              0.8319,             0.90524,             0.63937,            0.025489,            0.037607,           0.0026065,            0.001684,            0.001684,            0.001684
                  86,            0.026803,            0.024901,           0.0027201,             0.88492,             0.85601,             0.90478,             0.63582,            0.025533,            0.037688,            0.002587,            0.001585,            0.001585,            0.001585
                  87,            0.026445,            0.024211,            0.002621,             0.87556,             0.85538,             0.90387,             0.64084,             0.02542,            0.037451,           0.0025625,            0.001486,            0.001486,            0.001486
                  88,            0.026633,            0.024677,           0.0025957,              0.9202,             0.83956,             0.90986,             0.64529,            0.025377,            0.037339,           0.0025721,            0.001387,            0.001387,            0.001387
                  89,            0.026432,            0.024388,           0.0026656,              0.9105,             0.84628,              0.9061,             0.64301,            0.025335,            0.037264,           0.0025647,            0.001288,            0.001288,            0.001288
                  90,            0.026377,            0.024324,           0.0024907,             0.90988,             0.85236,             0.90879,             0.64248,            0.025303,            0.037262,           0.0025914,            0.001189,            0.001189,            0.001189
                  91,            0.026326,             0.02447,           0.0025499,             0.89598,             0.85313,              0.9078,             0.64324,            0.025248,             0.03719,           0.0025691,             0.00109,             0.00109,             0.00109
                  92,            0.026338,            0.024279,           0.0025208,             0.90831,             0.84566,             0.90289,             0.64399,            0.025221,            0.037165,           0.0025798,            0.000991,            0.000991,            0.000991
                  93,            0.026197,            0.024163,           0.0025014,              0.9301,             0.83039,             0.90526,             0.64203,            0.025243,            0.037192,            0.002595,            0.000892,            0.000892,            0.000892
                  94,            0.026093,            0.023831,           0.0025317,              0.9228,             0.83234,             0.90513,             0.64078,            0.025204,            0.037205,           0.0026013,            0.000793,            0.000793,            0.000793
                  95,            0.026036,             0.02395,           0.0024941,             0.91818,             0.84905,             0.90729,             0.64704,            0.025147,            0.037167,           0.0026166,            0.000694,            0.000694,            0.000694
                  96,            0.025853,            0.023602,           0.0024898,             0.91249,             0.85588,             0.90835,              0.6507,            0.025134,            0.037184,           0.0026158,            0.000595,            0.000595,            0.000595
                  97,            0.025807,            0.023734,           0.0024881,             0.91942,              0.8414,             0.90492,             0.64433,            0.025161,            0.037144,            0.002615,            0.000496,            0.000496,            0.000496
                  98,            0.025902,            0.023909,           0.0024237,             0.92856,             0.84253,             0.91006,              0.6476,            0.025122,            0.037092,           0.0026111,            0.000397,            0.000397,            0.000397
                  99,            0.025749,            0.023727,           0.0024142,             0.92794,             0.83847,             0.91061,             0.64922,              0.0251,            0.037089,           0.0026136,            0.000298,            0.000298,            0.000298
